Category	Value
UNK:UNK	"After 3 months, screen just went black all of a sudden."
UNK:UNK	I Was Hoping for More.
UNK:UNK	"Audio Quality is poor, very poor."
UNK:UNK	I had absolutely no problem with this headset linking to my 8530 Blackberry Curve!
UNK:UNK	"I know that sounds funny, but to me it seemed like sketchy technology that wouldn't work well.Well, this one works great."
UNK:UNK	I've bought $5 wired headphones that sound better than these.
UNK:UNK	This phone is very fast with sending any kind of messages and web browsing is significantly faster than previous phones i have used.
UNK:UNK	"Nice quality build, unlike some cheap s*** out there."
UNK:UNK	This item is fantastic and works perfectly!
UNK:UNK	And I just love the colors!
UNK:UNK	W810i is just SUPERB.
UNK:UNK	"All I can do is whine on the Internet, so here it goes.The more I use the thing the less I like it."
UNK:UNK	Great charger.
UNK:UNK	This is essentially a communications tool that does not communicate.
UNK:UNK	Works like a charm; it work the same as the one I got with the phone.
UNK:UNK	"I still maintain that monkeys shouldn't make headphones, we just obviously don't share enough DNA to copy the design over to humans."
UNK:UNK	Great Value.
UNK:UNK	Doesn't work at all.. I bougth it for my L7c and its not working.
UNK:UNK	"The look of it is very sharp and the screen is nice and clear, with great graphics."
UNK:UNK	doesn't last long.
UNK:UNK	One thing I hate is the mode set button at the side.
UNK:UNK	EXCELLENT SERVICE!!!!!!!!.
UNK:UNK	Thank you for wasting my money.
UNK:UNK	How can that be?The audio quality is poor.
UNK:UNK	The iGo chargers and tips are really great.
UNK:UNK	The file browser offers all the options that one needs.Handsfree is great.
UNK:UNK	Superb Phone on a Great Network.
UNK:UNK	"I connected my wife's bluetooth,(Motorola HS850) to my phone and it worked like a charm whether the phone was in my pocket or the case."
UNK:UNK	"I put the latest OS on it (v1.15g), and it now likes to slow to a crawl and lock up every once in a while."
UNK:UNK	It only recognizes the Phone as its storage device.
UNK:UNK	"If you like a loud buzzing to override all your conversations, then this phone is for you!"
UNK:UNK	Don't buy this product.
UNK:UNK	I've had this bluetoooth headset for some time now and still not comfortable with the way it fits on the ear.
UNK:UNK	The sound quality is good and functionality is awesome.
UNK:UNK	"I have this phone and it is a thorn in my side, I really abhor it."
UNK:UNK	I recently had problems where I could not stay connected for more than 10 minutes before being disconnected.
UNK:UNK	Incredible!.
UNK:UNK	Design Flaw?.
UNK:UNK	Great phone!.
UNK:UNK	Waste of 13 bucks.
UNK:UNK	"But when I check voice mail at night, the keypad backlight turns off a few seconds into the first message, and then I'm lost."
UNK:UNK	The replacement died in a few weeks.
UNK:UNK	Any ring tone..Overall good phone to buy..
UNK:UNK	Lately they have been extremely nice and helpful on the phone.
UNK:UNK	I have had problems wit hit dropping signal and more.
UNK:UNK	Not impressed.
UNK:UNK	"Light weight, I hardly notice it is there."
UNK:UNK	You'll love how thin it is.
UNK:UNK	Bad Choice.
UNK:UNK	The pleather case doesn't fit.
UNK:UNK	"useless phone, simply deaf."
