,0,1
0,how has religion affected war?,4
1,What is the best talk show on the radio dial?,8
2,Any suppositions about somebody's Sun sign?,8
3,Poor Peyton?,6
4,describe the anomalous expansion of water?,2
5,who likes the cubs?,6
6,what do you think of beyonce?,8
7,1-        what is moles?,3
8,How do you start a non profit charitable organization at work?,10
9,How do  solve this problem?,2
10,Need help finding a place.?,7
11,"Does anyone consider professional race car drivers to be ""athletes""?",6
12,What nations are currently allied with Mexico?,10
13,help  me  by  telling me  how  to .....?,5
14,Ever use Skype?,7
15,how can i delet my photos?,5
16,Why Is HIstory Class Soooooo Boring?,1
17,Ur most embarassing blind date?,9
18,Marriage seems like a curse. Does anyone else feel that way?,9
19,How long do the effects of chickenpox last for?,3
20,What is the worst thing you have done?,4
21,What is your job? Do you enjoy it?,1
22,should the sox win the world sieries again?,6
23,is it bad if you have an email at a young age?,7
24,how can I run a motor vehicle plate number any good websites?,7
25,Exercise question?,3
26,Strong Smell?,3
27,has Montana signed onto the new 21st Century Banking Laws?,10
28,what is the exact distance between Earth and the Sun?,2
29,cOULD DINOSAURS FLY?,2
30,who to have very cool sex?,9
31,Which is the best mutual fund in MIP?,7
32,how can you get clean water form dirty water or lake?,2
33,how many square metres in a square metre?,2
34,"Why do women think that bad boys are ""confident""?",9
35,A Question for American members only.?,1
36,what is the best brand of protein for post workout?,3
37,Conflicts about Homosexuality?,10
38,Why are there too many  Republican in US?,10
39,why can i not get into messager?,5
40,Dental care - how do you do it?,3
41,Song for World Cup 2006? somebody help please?,6
42,tell me abt urdu adab related site?,1
43,what is the purpose of being a campus heartthrob?,7
44,Which Team First Batting in the Quarter Final between India?,6
45,How do i find the volume of a pointed fifth dome?,2
46,a gentle mountain awakens here. where am i?,4
47,What to do with a lot of money?,7
48,How much are veneers for your teeth?,3
49,Why do people keep running?,9
50,Why does everyone think I look like Tony Blair?,1
51,Any good book review on to kill a mocking bird?,4
52,Where can I find someone's criminal history for free?,4
53,health quesition?,3
54,"download ""youtube"" videos?",5
55,"link between bookkeeping,accountancy,auditing?",4
56,Crossword/Science Help!?,2
57,What movie are you waiting to see?,8
58,best striker from these choices...?,6
59,how many square cm per square m?,2
60,Pictures of Steve Nash?,6
61,Can u help me out plz!?,8
62,can u imagine life with out GOOGLE?,5
63,What is a microburst?,2
64,Ashley Tisdale vs Hilary Duff?,8
65,Why should / shouldnt one take up politics?,10
66,how does eggs get in a uterus?,3
67,what is crisis?,2
68,How do you control your nerves?,3
69,Where can I download free sheet music from?,8
70,Is it SAFE for me to lose 20 pounds?,3
71,If you were to add up the wealth of Christians & Muslims?,1
72,WHAT should i doo?,9
73,How do I take care of dry skin on face?,3
74,should school have uniform or not?,4
75,What is your favorite word? Why?,4
76,If I reach Level 3 tomorrow what will you send me?,8
77,Did Adam & Eve's children engage in incest?,1
78,Is Buddah a god?,1
79,Where can I hear a recording of the three lions football anthem?,6
80,how do you sanatize the enema tip?,3
81,What about the Big Bang Theory?,2
82,Where can I find a map of future geography?,2
83,smokin weed?,1
84,What exactly is wrong with Marcus Trescothick ?,6
85,What do i do with this problem?,5
86,How much is a googol?,2
87,Does freelance work affect unemployment benefits?,7
88,complete free virus remover help?,5
89,"when doess the movie ""keith"" open?",8
90,Do Cheap home laser hair removal appliances work?,3
91,Looking for Restless Heart Song Lyrics?,8
92,what is food poisoning and how does it effect us?,3
93,"What does ""skidrow"" mean?",4
94,"If I were a wolf  would you buy,?",1
95,Help...What song is this???,8
96,Can illegals really vote in America?,10
97,Advice needed?,9
98,Which album has the song higer ??,8
99,What is the degree of consideration?,4
100,mushrooms and drug test?,2
101,over-sea's romance?,9
102,how much radiation?,5
103,Any ideas?,4
104,the best self imployed health insurance?,7
105,leo and scorpio?,8
106,what is a curricullum vitae?,7
107,Best movies with MEL GIBSON?,8
108,how does metabolism effect  pregnancy?,3
109,So she likes me...?,9
110,Am doing the right thing?,9
111,What do you call someone who is air assault qualified?,10
112,Should the New York Knicks trade Stephon Marbury?,6
113,i have no friends?,7
114,If i fall a black hole? Where i'll go?,2
115,he acts like he dosent like me?,9
116,Could you take a question seriously if?,1
117,Will Ohio State Buckeyes lead in 2007 ?,6
118,is christianity a cult?,1
119,What is  the difference between Surpac and Minex?,5
120,Math Problem?,2
121,who was the political leader forthe south?,4
122,trees- how do they effect us?,1
