,question_1,label
0,why doesn't an optical mouse work on a glass table?,5
1,What is the best off-road motorcycle trail ?,6
2,What is Trans Fat? How to reduce that?,3
3,How many planes Fedex has?,7
4,"In the san francisco bay area, does it make sense to rent or buy ?",7
5,What's the best way to clean a keyboard?,5
6,Why do people blush when they are embarrassed?,2
7,"Is Lin Qingxia (aka Brigitte Lin) ""the most beautiful woman in Chinese cinema?""",8
8,"What is the origin of ""foobar""?",5
9,How the human species evolved?,2
10,Who said the statement below and what does it mean?,4
11,How do I find an out of print book?,4
12,What are some tips on finding a good mortgage broker?,7
13,what's the best way to create a bootable windos/dos CD?,5
14,what is the reason for the increasing divorce percentage in the western world?,9
15,"What is an ""imaginary number""?",2
16,Faxing a pizza,2
17,What are good sources to find out about new gospel artists?,8
18,space missions,2
19,How a black hole is formed?,2
20,Heavy water,2
21,When will Her Majesty be released in Dvd format?,8
22,Is a transponder required to fly in class C airspace?,2
23,How to get rid of a beehive?,4
24,Nice apartment building near SBC Park?,7
25,What are world's 3 smallest nations?,2
26,What is the best riddle that you know?,7
27,Economics of running a restaurant?,7
28,Why do gas stations mix ethanol into gas?,2
29,Why we are not using the sea waves to generate electricity?,2
30,Why doesn't the NBA implement a minor leagues?,6
31,What's the longest english word without a vowel in it?,4
32,Formula1 car,6
33,how was Einstein's General Relativity theory proven ?,2
34,Can someone tell me what happened in Buffy's series finale?,8
35,How does a person live his whole life with the notion of impending death,2
36,how does a helicopter fly,2
37,Why would Big Ten keep its name inspite of adding a 11th school?,4
38,How effective is massage in relieving stress?,3
39,Is there a good reference for California Landlord-Tenant Law?,10
40,Triangular distribution random function,5
41,Capturing light in a container,2
42,When will Google buy Yahoo?,7
43,Do animals have feelings?,2
44,Is Trigonometry considered high school or college level math?,4
45,Why is there often a mirror in an elevator?,7
46,Can someone explain the theory of e=mc2?,2
47,"Why can Bush get away with misinforming us about intelligence, then use that as reason for war?",10
48,"where did term ""tie the knot"" come from?",4
49,How can the Chicago Cubs break their curse?,6
50,What's the cheapest source for ordering DVDs from Asia?,8
51,Why are there 5 rings in the Olympics symbol?,6
52,What is the over/under for wins by the 49ers this season?,6
53,What was James Bond's wife's name?,4
54,How do I take my money out of 401k without penalty?,7
55,What are the rules around who can throw the ball in football?,6
56,What is the history of seeing eye dogs?,4
57,"If I lose lots of money in stock in one year, can I carry the negative capital gain forward?",7
58,"What are the steps required to edit, publish and distribute a book?",7
59,When can a common man fly to moon?,2
60,"Condo/townhouse pricing in San Jose, CA",7
61,How does the Pope get his name?,1
62,How long does take a space craft to get from the Earth to the Moon?,2
63,At what level are math olympiads held for Kids?,2
64,Can anyone list the short name of the common names?,1
65,Do all professional athletes do steroids now?,6
66,Why is Dick a shortened version of the name Richard?,1
67,How do you know if you're in love?,9
68,what is the cause for headaches,2
69,Why didn't anyone send more buses to the Superdome earlier?,10
70,What is the best YMU-compatible mp3 player out there?,8
71,what are gamma ray bursts?,2
72,Why's watching Television so addictive?,2
73,What is the origin of the name 'Soccer'?,6
74,What's the capital city of Bolivia?,2
75,Why is it so foggy in San Francisco?,2
76,Why does it seem that most of the diets don't work on over weight people?,3
77,Which car and house insurance company is recommended in California?,7
78,how do Elephants communicate?,2
79,How come the usage of alternate power generators is not more prevalent in a state like Californi,10
80,Why is water transparent?,2
81,"Why do all zippers have ""YKK"" on them?",4
82,When do you use a semicolon instead of a colon?,1
83,Why do people amputate dogs tail?,2
84,How come stars are generally round?,2
85,What is the best relational database?,5
86,Why do we yawn?,2
87,Which cat has the largest variety of prey?,2
88,Why can I see myself in a mirror?,2
89,Where is the best place to cycle in San Francisco?,6
90,where is the best place to look for love?,9
91,what is the number one formula one car?,6
92,Number one formula one driver?,6
93,Why do I Sound Different When I Hear My Own Voice?,2
94,What type of fresh-cut Christmas tree lasts the longest?,1
95,what are the base colors?,2
96,Who is Earth-2 Superman and how is he different from regular Superman?,8
97,How do you become a judge on the Supreme Court?,10
98,What is the oldest evidence of life?,2
99,"Where did the band, The Dismemberment Plan, get their name from?",8
100,What does 'zig' refer to in the All Your Base clip?,8
101,What is the best way to learn chinese?,1
102,Why is it considered unlucky to open an umbrella indoors?,1
103,What is the name of the second US astronaut to land on the moon?,4
104,Which singer has the largest number of records,4
105,What animal laid the largest eggs?,4
106,Can water be hotter then 100 Celsius degrees?,2
107,Why do we only drink eggnog during Christmas?,1
108,What's a good home based business?,7
109,"what is a tag, and why is it being hailed by some people as the greatest thing since sliced bread?",5
110,What is the maximum number of identical stones so that after a look-alike is added...?,2
111,Does anyone know any Lutheran Church in or nearby Phoenix?,10
112,"What movie did Joe Pesci describe kids as ""YUTS""?",8
113,Can you imagine seeing more colors?,7
114,Who is the world's highest paid actress?,8
115,Can you recommend a good preschool with childcare around New York?,4
116,"What does ""xoxo"" stand for?",4
117,Does echinacea really help prevent colds?,3
118,What is  the largest city in the world?,4
119,What are the effects of parental favoritism?,9
120,what is the biggest number  in the world?,2
121,How did Calvin and Hobbes meet?,8
122,where can i find a women's basketball league to join?,6
123,What is the best place to get guitar lessons in the South Bay Area?,8
124,What is the boot-shaped country found in Southern Europe?,2
125,What is the only state in the US whose governor has no veto power?,2
126,Which soccer team has won the most European club championships?,6
127,Where can I find information about Superlatives?,4
128,Why do we get tickled when somebody tickles us and we don't when we tickle ourselves?,2
129,Why are the San Francisco 49er's Sucking so Bad Again?,6
130,what is the temperature on the sun and how to calculate the lost of heat per distance from it?,2
131,Who is going to pick up Terrell Owens after he comes off suspension?,6
132,Should T.O. be allowed to play for Eagles or any other team this season?,6
133,What does it take to be a teacher?,4
134,What does 4 8 15 16 23 42 _really_ mean?,8
135,looking for a good spa in the SF bay area,3
136,who should I start this week in fantasy football? Delhomme @BUF or Brooks @NYJ?,6
137,What are the options for volleyball leagues in the south bay and SF?,6
138,Why was the Passion of Christ a controversial movie?,8
139,how can I recover the security key for my Yahoo! account?,5
140,I'm new to road biking and need a bike under $1000. What frame and parts do you recommend?,6
141,Is there a place where I can see graphs of U.S. National Budget allocations for the last few years?,10
142,"Who said ""Beauty is in the eye of the beholder""?",4
143,Why doesn't college football have a playoff system?,6
144,What kind of guitar is that?,8
145,What is a good entry-level road bike to purchase?,6
146,Who holds the single season rushing yards in NFL?,6
147,Should US computer programmers be worried about outsourcing trend to India and other countries?,7
148,"If light travels faster than sound, then why do we hear sound first and then see picture when we turn on TV ?",2
149,What is the minimum GPA to get into colleges?,4
150,How do I write a resume?,7
151,How long is the wall of china?,4
152,Where can I find help about an inventor or invention?,4
153,What should I look for when buying a laptop? What is the best brand and what's reliable?,5
154,Who is the most famous woman athlete of all time?,6
155,Could a very powerful directional microphone pickup sounds from the past?,2
156,What should I offer for Xmas to my grand'ma ?,7
157,is there a good art school in the San Francisco bay area?,4
158,What is a motherboard?,5
159,What was the first currency ever used?,1
160,Where can I get ideas for our science project?,4
161,what are the materials that can be used to produce laser beam?,2
162,What is the difference between software and hardware?,5
163,What is the Arizona river that flows into the Colorado?,2
164,Is there any proven evidence that Mars at some point in the past had microscopic life?,2
165,should i trade Baron Davis and Joe Johnson for Allen Iverson?,6
166,"What does ""ZIP code"" stand for?",4
167,What is programming?,5
168,What is the oldest magazine that is still in circulation?,8
169,Do you really need 8 hours of sleep every night?,3
170,"If God is both all loving and all powerful, how can he/she/it allow suffering to exist?",1
171,Where can you donate an old encyclopedia set?,7
172,What does LASER stand for?,2
173,Is there another cure for headaches besides taking pain killers?,3
174,Would it seriously affect my chances of getting into college if I don't have a high SAT score?,4
175,What's the market share of GM and Ford together in the USA?,7
176,Why do we get hiccups?,2
177,What are the best ways to incentivise people to answer questions here?,5
178,Does anyone have a recommendation for a good CPA who charges reasonable fees in Indianapolis?,7
179,Can you recommend a good credit union located in St. Louis?,7
180,What bowl game will Penn State be going to?  What's the best way to get tickets?,6
181,How many U.S. states are named after kings or queens?,2
182,Should cell phones and PDAs be allowed in school? Why or why not?,4
183,How do you bring up the salary subject during an interview if the interviewer didn't bring it up?,7
184,What is Indie genre?,8
185,Why do human have five fingers and five toes?,2
186,What is the difference betwen a close knit family and extended family?,9
187,Who had the shortest celebrity marriage?,8
188,How can I stop getting junk mail?,7
189,Why do men wear neckties?,4
190,"Where is the nearest US post office in Se 5th Ave, Portland?",10
191,"Why do people have the bird, turkey for thanksgiving?",1
192,How can I record audio directly from the browser to the web server?,5
193,Why do we celebrate Christmas eve?,1
194,"Is there a way in MS Excel to have a cell be equal to multiple cells? e.g.= D3 and D5, where d3 & 5 are words?",5
195,Can you give me tips on how to get over an ex?,9
196,Which TV show got higher ratings?,8
197,Who played Will's dad on Will and Grace?,8
198,Why are handicapped bathroom stalls always built at the end of the restroom?,4
199,"Who said ""Do, or do not. There is no 'try'""?",4
200,How should I act on a date?,9
201,How many countries and territories are there in the world?,2
202,How far is it to the moon?,2
203,What language gave us the words Kimono and Futon?,4
204,"What is the best LCD monitor 19""-25""?",5
205,What state has its capital at Hartford?,2
206,What song that was played whenever they showed the dancing baby on Alley McBeal?,8
207,What does RSVP stand for?,4
208,Where's a good place to buy a skirt for beneath the Christmas tree?,7
209,Public transportation options in Los Angeles?,10
